Category: All categories

Month,gym: (Worldwide)
2004-01,52
2004-02,46
2004-03,41
2004-04,38
2004-05,37
2004-06,39
2004-07,41
2004-08,45
2004-09,43
2004-10,41
2004-11,40
2004-12,40
2005-01,56
2005-02,46
2005-03,45
2005-04,42
2005-05,42
2005-06,41
2005-07,42
2005-08,47
2005-09,46
2005-10,45
2005-11,43
2005-12,42
2006-01,58
2006-02,48
2006-03,47
2006-04,43
2006-05,44
2006-06,43
2006-07,45
2006-08,51
2006-09,51
2006-10,47
2006-11,45
2006-12,44
2007-01,61
2007-02,56
2007-03,53
2007-04,54
2007-05,54
2007-06,52
2007-07,52
2007-08,53
2007-09,54
2007-10,47
2007-11,46
2007-12,45
2008-01,60
2008-02,51
2008-03,49
2008-04,48
2008-05,45
2008-06,46
2008-07,47
2008-08,52
2008-09,55
2008-10,48
2008-11,48
2008-12,46
2009-01,60
2009-02,51
2009-03,49
2009-04,48
2009-05,48
2009-06,47
2009-07,48
2009-08,52
2009-09,51
2009-10,47
2009-11,46
2009-12,45
2010-01,60
2010-02,54
2010-03,51
2010-04,50
2010-05,48
2010-06,48
2010-07,50
2010-08,53
2010-09,54
2010-10,49
2010-11,49
2010-12,47
2011-01,65
2011-02,57
2011-03,57
2011-04,53
2011-05,53
2011-06,54
2011-07,52
2011-08,56
2011-09,60
2011-10,57
2011-11,56
2011-12,53
2012-01,71
2012-02,64
2012-03,59
2012-04,58
2012-05,57
2012-06,59
2012-07,62
2012-08,63
2012-09,64
2012-10,59
2012-11,55
2012-12,54
2013-01,72
2013-02,65
2013-03,64
2013-04,64
2013-05,62
2013-06,63
2013-07,64
2013-08,67
2013-09,67
2013-10,65
2013-11,62
2013-12,61
2014-01,80
2014-02,73
2014-03,71
2014-04,69
2014-05,66
2014-06,66
2014-07,66
2014-08,69
2014-09,70
2014-10,65
2014-11,64
2014-12,64
2015-01,82
2015-02,74
2015-03,73
2015-04,72
2015-05,70
2015-06,70
2015-07,71
2015-08,74
2015-09,76
2015-10,68
2015-11,69
2015-12,70
2016-01,87
2016-02,79
2016-03,78
2016-04,78
2016-05,76
2016-06,79
2016-07,95
2016-08,89
2016-09,83
2016-10,75
2016-11,75
2016-12,73
2017-01,97
2017-02,87
2017-03,84
2017-04,82
2017-05,80
2017-06,84
2017-07,88
2017-08,87
2017-09,85
2017-10,80
2017-11,80
2017-12,78
2018-01,100
2018-02,87
2018-03,85
2018-04,84
2018-05,82
2018-06,83
2018-07,85
2018-08,88
2018-09,85
2018-10,78
2018-11,80
2018-12,80
2019-01,99
2019-02,87
2019-03,87
2019-04,82
2019-05,79
2019-06,86
2019-07,86
2019-08,87
2019-09,87
2019-10,80
2019-11,84
